event_id,name,clean_description,location_room,start_date_clean,start_time,end_time,duration,pre_reg_flag,paid_flag,laptop_flag,speakers_cleaned,session_type,keywords,skill_level
3783,Digging into data for stories (Friday) *pre-registered attendees only,"Skill level: Beginner Kickstart your data skills with IRE's original mini-boot camp. This series of hands-on classes will introduce you to spreadsheets with IRE's proven techniques. IRE's experienced trainers will start with the fundamentals of navigating spreadsheets and walk you through sorting, calculating and interviewing data in Microsoft Excel. You'll come away with a solid base for using data analysis in your own newsroom. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference. Please note that a showcase panel will take place at 4:45 p.m. on Friday. Attendees may leave the Digging into data class to attend the showcase or stay for an optional additional lesson. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: There are no prerequisites for this workshop and beginners are welcome. This workshop is good for those wanting to get started analyzing data for stories. ",Coral C,2018-06-15,2018-06-15T15:00:00Z,2018-06-15T23:45:00Z,525,TRUE,TRUE,FALSE,IRE/NICAR staff,Hands-on,NA,NA
3784,Working with data in python for beginners *pre-registered attendees only,Skill level: Intermediate This three-hour crash course will introduce you to the Python programming language as it is used for data analysis in the newsroom. We'll cover basic syntax and programming concepts; newsroom use cases and examples; and analyze data using a library called pandas. We'll also talk about how to get up and running with Python on your own machine so you can take it all home. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: You should be comfortable working with data in spreadsheets or SQL. No programming experience required. ,Coral A,2018-06-15,2018-06-15T15:00:00Z,2018-06-15T18:30:00Z,210,TRUE,TRUE,FALSE,"Cody Winchester, IRE/NICAR; Matt Wynn, MedPage Today",Hands-on,"python,data analysis",intermediate
3785,SQL boot camp *pre-registered attendees only,"Skill level: intermediate If you flip over pivot tables, but wish you had more data tools, this session is for you. Structured Query Language, or SQL, can help you find patterns in millions of records, help you join databases and make you sound extra cool when you talk with your news nerd friends. In addition to learning these skills, you’ll learn the song that will help you remember these skills. This class will be taught by two experienced data reporters and former IRE training directors, and materials will include the IRE Computer Assisted Reporting boot camp binder, full of exercises, cheat sheets and tips to help you boost your data analysis and storytelling skills. We will use a free database manager that can be easily installed and used on any computer. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: The only prerequisites are a reasonable comfort level with using a spreadsheet and the love of music. No previous SQL skills necessary. ",Coral C,2018-06-16,2018-06-16T15:00:00Z,2018-06-16T23:15:00Z,495,TRUE,TRUE,FALSE,"Jaimi Dowdell, Reuters; Jennifer LaFleur, Investigative Reporting Workshop",Hands-on,NA,NA
3786,Getting started in R *pre-registered attendees only,"Skill level: Intermediate We will introduce you to R, a free, powerful open-source programming language, that will add statistical heft to your reporting. By the end of this three-hour session, you will be able to take raw data, import it into R, and start your analysis. Topics will include basic data importing, working with directories, reading in data, installing packages, creating simple visualizations, and how to clean, explore and sort your data. We'll also talk about how to find help when you're stuck. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: This session will be most helpful if you’re comfortable working with data and you’re ready to take your skills to the next level. ",Coral B,2018-06-16,2018-06-16T15:00:00Z,2018-06-16T18:30:00Z,210,TRUE,TRUE,FALSE,"Charles Minshew, IRE/NICAR; Hannah Fresques, ProPublica; and Olga Pierce, ProPublica",Hands-on,NA,NA
3788,Master class: Mastering the interview (Print focus) **pre-registered attendees only,"When it comes to interviewing, some reporters are naturals. ProPublica’s Ken Armstrong isn’t one of them. He’ll share the (many) mistakes he’s made and what he’s learned from them. This workshop will move from getting the interview, to conducting the interview, to capitalizing on the interview when it’s time to write. Topics will include: - *How — and when — to land a tough interview - *The power of silence - *The power of sincerity - *Interviewing people who have been hurt, and interviewing the people who hurt them - *How to interview someone who won’t talk to you (and yes, this can be done — sort of) We will venture, ever so briefly, into the mysterious realm of emotions (open mind, open heart). We’ll challenge some of the conventional wisdom surrounding interviewing (pure hooey, some of it). And we’ll watch outstanding interviewers at work, studying what they do — and, more important, what they don’t do. Preregistration is required and seating is limited. ",Mako,2018-06-14,2018-06-14T20:30:00Z,2018-06-15T00:00:00Z,210,TRUE,TRUE,FALSE,"Ken Armstrong, ProPublica",master class,NA,NA
3789,Master class: Editing the data story **pre-registered attendees only,"Managing a data project presents challenges for any editor. No matter your comfort level with data, this half-day workshop will give you the foundation you need to help make sure your reporters aren't running with scissors or spinning their wheels on data projects. Two veteran editors, Jennifer LaFleur of Investigative Reporting Workshop and Maud Beelman of the Associated Press, will guide you through the ins and outs of data journalism from an editor's point of view, including: *How to help reporters find focus for their data stories *Being skeptical of data and finding potential pitfalls *Verifying analyses and bulletproofing data stories and apps *Using data to find human sources and characters for stories *Planning the best data workflows for your newsroom Preregistration is required and seating is limited. Workshop requirements: No data experience is necessary for this workshop. Editors/producers and those interested in newsroom management are welcome. Please bring your own laptop. ",Mako,2018-06-15,2018-06-15T15:00:00Z,2018-06-15T18:30:00Z,210,TRUE,TRUE,FALSE,"Maud Beelman, The Associated Press; Jennifer LaFleur, Investigative Reporting Workshop",master class,NA,NA
3790,Master class: The advanced art of the TV interview (Broadcast focus)  **pre-registered attendees only,"Handling deniers, liars, whistleblowers, blabbermouths, know-it-alls, media-trained automatons, murderers, celebrities, children, victims and those “taking the fifth.” Using real behind-the-scenes examples, we’ll share techniques on how to plan, prepare and execute the most difficult interviews in investigative reporting, including formats that are often overlooked but need real planning, like hidden camera, news conferences, sit-down confrontations and anonymous interviews. This class is good for: Those both on and off camera, as we’ll hit on what reporters, producers, MMJs and photographers all need to be thinking about during both one camera and two camera interviews. Preregistration is required and seating is limited. ",Mako,2018-06-15,2018-06-15T20:30:00Z,2018-06-16T00:00:00Z,210,TRUE,TRUE,FALSE,"Tisha Thompson, ESPN; Lea Thompson, independent journalist",master class,NA,NA
3791,Master class: Writing the investigative narrative **pre-registered attendees only,"You’ve gathered data, docs and human sources. Now it’s time to turn your reporting into a story -- or a series -- that packs a punch. If you’re new to investigative storytelling or want to up your writing game, this workshop is for you. Veteran editor Maria Carrillo has led some of the best narrative teams in the country. In this half-day workshop, she’ll cover the entire story lifecycle, from reporting to writing to planning for publication. Topics include: * Understanding narrative * Reporting for story -- How to gather the details and scenes that will give your piece emotional power * Focus and framing – Finding your way through all that material * Self-editing tips and techniques * Developing a story team -- How to get photographers, artists, designers, digital producers and editors unified behind a common vision We’ll look at examples of successful stories, pulling back the curtain to see how they came together. Preregistration is required and seating is limited. ",Mako,2018-06-16,2018-06-16T15:00:00Z,2018-06-16T18:30:00Z,210,TRUE,TRUE,FALSE,"Maria Carrillo, Tampa Bay Times",master class,NA,NA
3792,IRE Board Meeting,"The IRE Board of Directors will meet on Thursday from 2-5 p.m. in Zander, located on the 2nd floor of the Renaissance Orlando at SeaWorld, as part of the annual conference. The meeting is open to all IRE members. ",Zander,2018-06-14,2018-06-14T20:00:00Z,2018-06-14T23:00:00Z,180,FALSE,FALSE,FALSE,NA,NA,NA,NA
3793,Welcome reception (Sponsored by Google News Initiative),"Kick off the conference with a welcome reception beginning at 6 p.m in the Atrium of the Renaissance Orlando at SeaWorld. Meet up with friends you have not seen since last year and welcome new attendees. Each attendee will receive one drink ticket for beer, wine, soda or bottled water. Conference nametags are required for entry. ",Atrium,2018-06-14,2018-06-15T00:00:00Z,2018-06-15T01:30:00Z,90,FALSE,FALSE,FALSE,NA,NA,NA,NA
3794,IRE Board candidate speeches,"Meet the candidates for the IRE Board of Directors at 6:15 p.m. in Oceans 7-8, located on the 1st floor of the Renaissance Orlando at SeaWorld following the afternoon Showcase Panel. ",Oceans 5-8,2018-06-15,2018-06-16T00:15:00Z,2018-06-16T00:30:00Z,15,FALSE,FALSE,FALSE,NA,NA,NA,NA
